GraphID,Vertices,Edges,RandomizedMaxCut,GreedyMaxCut,Greedy+LocalSearch,SemiGreedyMaxCut,
,,,Constructive algorithm,,,Local search,,,,Known best solution,,
Name,|V| or n,|E| or m,Simple Randomized or Ranomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Simple local or local-1,,GRASP-1,,
,,,,,,No. of iterations,Average value,No. of iterations,Best value,
G1,800,19176,9638.3,10949,11245,20,11388.3,50,11430,12078
G2,800,19176,9593.7,11050,11265,20,11399.2,50,11415,12084
G3,800,19176,9626.1,11015,11236,20,11401.2,50,11418,12077
G4,800,19176,9594.4,11059,11203,20,11404.1,50,11475,n/a
G5,800,19176,9568.1,11038,11323,20,11388,50,11461,n/a
G6,800,19176,79.5,1511,1746,20,1906.2,50,1985,n/a
G7,800,19176,-81.8,1442,1496,20,1749,50,1811,n/a
G8,800,19176,-73.6,1403,1556,20,1760.1,50,1864,n/a
G9,800,19176,-20.6,1428,1608,20,1800.6,50,1843,n/a
G10,800,19176,-88.3,1307,1561,20,1769.85,50,1819,n/a
G11,800,1600,11.2,432,474,20,482.7,50,468,627
G12,800,1600,10.2,418,452,20,466.6,50,454,621
G13,800,1600,17.8,418,478,20,489.1,50,484,645
G14,800,4694,2340.4,2900,2949,20,2971.05,50,2967,3187
G15,800,4661,2352,2865,2924,20,2949.15,50,2942,3169
G16,800,4672,2338.5,2894,2906,20,2958.05,50,2950,3172
G17,800,4667,2338.2,2883,2908,20,2950.4,50,2944,n/a
G18,800,4694,28,760,824,20,876.75,50,875,n/a
G19,800,4661,-51.9,710,750,20,781.05,50,796,n/a
G20,800,4672,-33.9,736,811,20,811.05,50,810,n/a
G21,800,4667,-31.3,733,739,20,804.1,50,819,n/a
G22,2000,19990,10017.6,12340,12721,20,12910.5,50,12963,14123
G23,2000,19990,10001.3,12328,12763,20,12932.3,50,12896,14129
G24,2000,19990,9990.3,12372,12750,20,12936.4,50,12938,14131
G25,2000,19990,9952.5,12394,12763,20,12928,50,12890,n/a
G26,2000,19990,10067.9,12327,12658,20,12926,50,12885,n/a
G27,2000,19990,-24.7,2345,2584,20,2887.05,50,2895,n/a
G28,2000,19990,-65.8,2292,2575,20,2842.2,50,2878,n/a
G29,2000,19990,23,2369,2722,20,2940.6,50,2945,n/a
G30,2000,19990,36,2424,2681,20,2952,50,2970,n/a
G31,2000,19990,-43.2,2329,2570,20,2859.95,50,2861,n/a
G32,2000,4000,2.8,1026,1124,20,1183.1,50,1142,1560
G33,2000,4000,-25,1008,1082,20,1152.8,50,1100,1537
G34,2000,4000,-46,980,1158,20,1169.7,50,1106,1541
G35,2000,11778,5910.9,7242,7375,20,7447,50,7405,8000
G36,2000,11766,5849.9,7240,7383,20,7440.65,50,7390,7996
G37,2000,11785,5911.1,7274,7354,20,7451.35,50,7414,8009
G38,2000,11779,5909.8,7252,7376,20,7451.05,50,7391,n/a
G39,2000,11778,9.8,1938,1924,20,2080.9,50,2071,n/a
G40,2000,11766,-29.7,1828,1896,20,2081.35,50,2039,n/a
G41,2000,11785,2.1,1876,1962,20,2105.35,50,2054,n/a
G42,2000,11779,72.2,1967,2032,20,2170.85,50,2138,n/a
G43,1000,9990,4998.1,6187,6297,20,6447.7,50,6477,7027
G44,1000,9990,4998.2,6118,6348,20,6456.8,50,6469,7022
G45,1000,9990,4994.3,6191,6314,20,6462.2,50,6484,7020
G46,1000,9990,4989.5,6188,6346,20,6445.9,50,6485,n/a
G47,1000,9990,4983.6,6202,6378,20,6464.25,50,6458,n/a
G48,3000,6000,3010.2,6000,5888,20,5759.8,50,5164,6000
G49,3000,6000,2998.4,6000,5658,20,5772.2,50,5190,6000
G50,3000,6000,3006.6,5880,5640,20,5709.9,50,5146,5988
G51,1000,5909,2962.3,3652,3695,20,3735.45,50,3712,n/a
G52,1000,5916,2959,3637,3682,20,3733.85,50,3720,n/a
G53,1000,5914,2941.8,3642,3681,20,3728.35,50,3728,n/a
G54,1000,5916,2973.7,3622,3689,20,3725.4,50,3712,n/a
